model,idx,alpha,beta,lambda,alpha_estimate,alpha_se,beta_estimate,beta_se
2,1,-30.7061710702204,0.542330229188738,0.0062155109752063,-30.4900577171473,0.562565068596687,-0.452272684170784,0.107564646706069
2,1,-29.8021620983203,0.520720479869077,0.00826407993333126,-29.0729310661167,0.733149118416074,-0.551903597830586,0.0879407885598158
2,1,-29.8679543519184,0.55148232415152,0.0613293308489025,-29.6060818813275,0.903613287853089,-0.676384423218481,0.0926858632085257
2,1,-26.0535119448691,0.496657216204076,0.00345481814688021,-26.7546383764511,0.81679257006688,-0.62473947111939,0.0950848002066973
2,1,-27.7166254995482,0.548219037710892,0.0496567531665592,-27.6579805426041,0.492813893331059,-0.393575898393276,0.110707252627335
2,1,-28.8691495213962,0.513771224853651,0.00386309459082097,-28.8948691310634,0.895142554408624,-0.665944352732501,0.0910490574102146
2,1,-29.6798744368275,0.505005967713802,0.00116237313576292,-29.1237263885599,0.704617584966074,-0.532645915841314,0.0915584694289452
2,1,-31.9153743792586,0.488773848926178,0.00108137560851974,-32.7202726272633,0.857948981824584,-0.602514187834555,0.0973281047820171
2,1,-29.2118911029778,0.536397581365905,0.0165693741415387,-28.8038972858328,0.684709659576652,-0.571405779326194,0.129609551138429
2,1,-27.5996984362478,0.492998981491832,0.05430144044049,-27.9979769733397,0.710614404307922,-0.53229221858099,0.103060817966671
2,1,-29.1014475404733,0.539006612328844,0.0574989349115439,-29.2581718708882,0.678011816522727,-0.50973343662156,0.0883334717709064
2,1,-31.7209950018642,0.507542385673509,0.000407115437424091,-30.9115765179095,0.917184151418402,-0.616572128233943,0.0956078339941521
2,1,-28.6812418627503,0.556511589173528,0.146342592601941,-25.8889805045157,1.60576927472925,-0.921841571773752,0.0970971075077643
2,1,-27.4312206948122,0.508233098781441,0.00639013804979048,-26.9962580691353,0.669198446679618,-0.4509200111108,0.11022727451262
2,1,-31.042395019081,0.507905018740255,0.00158290741343811,-31.6810931743478,0.701697630657553,-0.560105163089148,0.0967837190328325
2,1,-29.136909826391,0.524598119193706,0.000170547251248333,-27.8880924529578,0.605363082474771,-0.469543576937102,0.0959734965600154
2,1,-29.536317660592,0.522346526474996,0.0246680589802275,-29.0277372121055,1.15645915039271,-0.670162348708242,0.121585542422041
2,1,-28.8903732920227,0.522357626953796,0.0763421987993549,-31.0541016014078,0.807849508929496,-0.594318316597104,0.088121731779842
2,1,-31.1708107939271,0.517658133906422,0.0182572024697803,-31.373564398311,0.459893361053352,-0.347336865203458,0.110268575683871
2,1,-29.1396195994117,0.503960192519296,0.0115552574433432,-28.4862858890509,0.612012711053841,-0.468129884974726,0.0889147555604704
2,1,-31.2148057494912,0.523226110685799,0.00885973100811476,-29.6433660000769,0.582067565164728,-0.484104330998762,0.0926500686324146
2,1,-30.5317063069083,0.541670046273751,0.0549266475496706,-31.245671973013,0.789482385981173,-0.601225980726806,0.0936717097554975
2,1,-31.2835617629267,0.58852788958518,0.0777548724042054,-33.0114166560612,1.009056378364,-0.653119533791488,0.105487863959468
2,1,-30.2104354131188,0.529140750190691,0.0136306111647394,-29.8649944332668,0.571262001822362,-0.457883297289135,0.0929617119571059
2,1,-32.432403421494,0.480996988252008,0.00367518915064083,-31.9867823024544,0.662935658211645,-0.511802101626754,0.095660105764702
2,1,-28.4731117461541,0.560352256627056,0.00371271298992931,-28.3329235326398,0.726474684283531,-0.545701559328683,0.0960531631169463
2,1,-30.6157289398453,0.538813021080547,0.0053281609935301,-30.1902243607204,0.595268600919712,-0.366717664506497,0.142238080186267
2,1,-28.0508962274699,0.574285465023157,0.0363356106283492,-27.3647801403157,0.972854082967586,-0.65289134392514,0.0914386505796307
2,1,-31.2171438604186,0.510472673986183,0.00193804449658446,-30.9859737750684,0.594226478622938,-0.465242007673501,0.0972289610817182
2,1,-31.1904477145891,0.535706046358735,0.0144829461954761,-31.4581901967617,0.659306821905904,-0.554094221654724,0.109234183466802
2,1,-28.0221109800621,0.532160605598886,8.08521658045054e-05,-27.8574092715422,0.681746573809746,-0.564271639318214,0.10012856238103
2,1,-29.5708193513845,0.519415926410622,0.00765016285264921,-30.8913672305233,0.562230661351999,-0.448297543156941,0.102493069155505
2,1,-29.4544951158928,0.511713216514502,0.000890742697381184,-29.4809133774769,0.654962338335272,-0.562400121267423,0.119650411016046
2,1,-28.0999789374007,0.568220880290119,0.104343332616713,-27.597610089768,0.556543939515053,-0.457073815429027,0.0902724875676223
2,1,-29.0003160267027,0.540107978384187,0.155991431220195,-26.567482919358,1.54915651690654,-0.911469877692254,0.120004919170253
2,1,-30.3492998157801,0.526321637457715,0.00185238122395947,-30.4433645788498,0.4258188056178,-0.406715320595604,0.104359608739486
2,1,-28.8925161434221,0.548840087195191,0.00317374591740908,-29.3125186623598,0.441324523304864,-0.330630865825673,0.0941680931793387
2,1,-31.65767049342,0.545832448887741,0.108395836193782,-29.6267345306684,2.17279607073234,-1.05444300267976,0.087544705389791
2,1,-25.9628270847481,0.53058817057132,0.00731130644382311,-25.6582541719911,0.556595741758686,-0.448826349855718,0.0997243785660948
2,1,-28.9435613680325,0.544279829604742,0.000999496445324105,-28.5751502385222,0.703652024550113,-0.569127747244617,0.0948156926048948
2,1,-28.4945413465721,0.502696103569101,0.00153531097707023,-28.3204447412235,0.490617476615744,-0.391295601068648,0.0971475287929882
2,1,-27.8147250494109,0.517045564442229,0.00337026303367546,-28.5557606618114,0.441619426150274,-0.384216635532361,0.0960211006371702
2,1,-33.958980942825,0.50539698893641,0.00284009056574923,-33.0896309427185,0.685743895024818,-0.508025091130246,0.0877771140382355
2,1,-30.8519109376512,0.526813311067149,0.000370590728381062,-30.0595587344335,0.586390390004225,-0.402442231192267,0.103104565313256
2,1,-26.4486857909908,0.48045189580793,0.00492698021814976,-26.7390534344511,0.837763686222316,-0.605157477231943,0.092490341614888
2,1,-30.6748322059093,0.468472251339874,0.00165031916592148,-31.0813857895405,0.776920272696889,-0.570099237276918,0.0891159666061026
2,1,-30.3880030457928,0.54212803903092,0.00587685618254666,-28.9279427817307,0.687880019667916,-0.508880472106854,0.0957115679823849
2,1,-31.6074448465361,0.516536587994306,0.0395058887432957,-32.172170797602,0.649948049000505,-0.39755045010881,0.173388106606227
2,1,-31.8976391956253,0.520427315984977,0.0116674592712315,-31.5694222554096,0.459974352570539,-0.37514501270384,0.0884755873631755
2,1,-30.6050712780165,0.532049738879887,0.00302491702349981,-30.2154504772187,0.539485180722277,-0.420901844076207,0.0902084225175359
2,2,-104.548163005483,1.2625356653887,0.00139942232295202,-50.5,2.58153952204717e-10,0.653688045608194,0.236265043881065
2,2,-65.7783337358922,0.963332389124292,0.00905167560471956,-50.5,1.68479724689189e-09,0.610344444266895,0.248632453051227
2,2,-46.9513711589082,1.15104466917062,0.0255859566071391,-47.5367584517204,0.286036647786982,-0.211073727609175,0.0896635011368407
2,2,-63.2837532234029,1.207901327911,0.0077528293350506,-50.5,1.04142484242389e-08,0.539237198267555,0.260001699668514
2,2,-15.2152846882961,1.14189181064838,0.0568016697038525,-15.4564720777859,0.393409457368085,-0.24103520001903,0.12656143556905
2,2,-23.5886692426223,1.03015490265201,0.0385490298630053,-23.4618564104033,0.346293198435952,-0.242641443001984,0.117800898029712
2,2,-14.151207443617,1.21573946895892,0.00671899546889901,-14.3586111878542,0.379676600814757,-0.272442163437724,0.102344422098287
2,2,-30.0334474790699,1.05890370826477,0.0299511182427582,-30.4627197604382,0.27200901547515,-0.207239743676185,0.108687753120563
2,2,16.9707427760606,1.12884900275526,0.00183545541555511,17.4250588526096,0.30653752318991,-0.183294320729085,0.120811759192568
2,2,-30.4380175959006,0.936019854510513,0.290304788368929,-33.8780013138524,2.7611146841384,-1.25497579136257,0.041032201720878
2,2,17.3533650805411,1.13314910641716,0.049234648521223,17.4525854265644,0.329327814661466,-0.317105265030432,0.0945313296787893
2,2,58.6440758762318,0.925867999939034,0.0305210101078577,49.7727464854127,0.893810077648939,-0.735030366192146,0.127587996901573
2,2,-10.0251229844966,1.19544502312703,0.0607651537787539,-10.1465946903366,0.481531014051822,-0.127091294111207,0.124033930267468
2,2,-24.9913227836102,1.06777748846192,0.0109735214502438,-24.5711123602961,0.265267612580284,-0.0968872427938612,0.128736653355771
2,2,-27.4473500201775,1.16633661454832,0.0862866602252958,-27.4435173064486,0.546134380048597,-0.398973713228288,0.0987044591451271
2,2,-56.2064374701335,1.05515257971115,0.00580350157260567,-50.5,1.04142484242389e-08,0.539237198267555,0.260001699668514
2,2,40.2568742334165,0.847085534895072,0.00021184228146563,39.7867943886153,0.475562273570457,-0.316951182512588,0.0955032665373219
2,2,-30.4047192604542,0.934839066832165,0.00370378993655524,-30.5018093809776,0.298964125484534,-0.27201249671647,0.0906322062147728
2,2,-55.969131929434,1.13242511746617,0.0028390086940466,-50.5,2.58153952204717e-10,0.653688045608194,0.236265043881065
2,2,74.7941720317887,1.04091150727383,0.119797481166519,50.4939827540624,0.0773371786597327,-0.187340927724847,0.0988947291621507
2,2,-57.0530189473711,1.22636416616415,0.00854672918718295,-50.5,2.58153952204717e-10,0.653688045608194,0.236265043881065
2,2,-49.136642265294,1.1148315744257,0.0135776516196647,-48.537679157096,0.22534700113472,-0.196860449724774,0.103903067025353
2,2,-16.8276072699245,0.979896098214488,0.090525420105861,-16.9801080788387,0.543773480685953,-0.390885766203581,0.0956461443979014
2,2,-0.150530563536229,0.958091582829437,0.00813184801175313,-0.530082551422092,0.279025210740125,-0.243681172584114,0.104046305368109
2,2,-11.4607813170946,1.10248449896082,0.076941944653718,-11.5092039620217,0.216828823858463,-0.206311789313146,0.088491092586888
2,2,-11.8740233707058,1.04694619006493,0.101540797153098,-11.5574393320668,0.290615669089323,-0.250086072601129,0.102851434561461
2,2,-32.6523405200624,1.1431194592671,0.0100802365019332,-32.5651027761086,0.282395780476129,-0.21720213670233,0.0922154154148808
2,2,-81.2697067299877,1.10747108715404,0.125128206625551,-49.2639919461918,1.34805513911053,-1.01564654958754,0.0876402332076138
2,2,6.61036332095542,1.23144525033171,0.0106208453587861,6.51916377404843,0.155318101454262,-0.0848963015188938,0.107217016075542
2,2,-35.5433898133672,1.00266160054039,0.00265393082938155,-35.916171126589,0.537291696220497,-0.411072097394842,0.112688037418791
2,2,-4.28245412678717,1.09753212770906,0.0357494373503066,-3.41661058752769,0.417905674942657,-0.367385614559369,0.0949288252473652
2,2,5.13645295723559,1.16708679133488,0.0569203726477972,6.95103251556767,1.25137091343304,-0.743264460554332,0.0990278103954152
2,2,-40.0739923020174,0.892361647435113,0.0174498894653695,-39.6771500343503,0.413993783835743,-0.287451218329482,0.0933115075216007
2,2,-11.3045669186317,0.966750741929642,0.114060069541813,-11.5726426866805,0.654643855895844,-0.491968965291883,0.1133243759181
2,2,-65.5424097690657,1.20215175276929,0.100992619418677,-50.4999999844139,0.000125077878049758,0.0769914075004753,0.0935709745257698
2,2,-28.7315168461915,1.03077572140251,0.0256443290209593,-28.500536787535,0.0947336609159561,-0.102554453686128,0.103682441555194
2,2,4.20240868816942,0.996337987244609,0.00821906159813163,4.43409646731379,0.267596679320903,-0.207668360547926,0.097484454449234
2,2,-13.0804375265865,1.22656631073366,0.0286070438927041,-13.3979347361517,0.331060364906716,-0.206535092251164,0.098326657781631
2,2,-24.7379135567951,1.07917446196759,0.00519478159818174,-24.4821698863137,0.154471743857607,-0.0949113664474934,0.103424341288821
2,2,46.8177434792937,1.11180159975355,0.00255580731563267,46.9942021937504,0.505865844067882,-0.267807728309081,0.0973603569066448
2,2,-10.5086758335174,1.00453185122406,0.00477655089940374,-10.5042622019113,0.307279690313369,-0.28482389114097,0.0924320053347437
2,2,1.92545316529049,0.961650445958018,0.136173679938516,0.764220670532257,0.734809094385088,-0.586392917634095,0.0975764256828289
2,2,-30.8945256384341,1.16970079088688,0.0186974215803019,-31.3173012336625,0.406205626463454,-0.212807097878025,0.115617298504307
2,2,-8.57254617754948,1.249588096254,0.00864747622235377,-8.49987805100632,0.0676169441752146,-0.0880015458538234,0.0979186643173763
2,2,-35.8608086943413,1.13412462020412,0.0206208178147198,-36.488366890848,0.221559240529803,-0.188443088000973,0.0953120366790754
2,2,9.13608348645455,1.17582863813491,0.00024170577348769,9.56372433311963,0.255018677271872,-0.131032122119771,0.102277967794177
2,2,-0.472985800436721,0.955803879373788,0.00437508702813234,-1.32483370539082,0.404278970576966,-0.278723491038104,0.109730238743261
